Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Datetime,Date
1447286400,309.95,310,309.91,309.99,34.1972444,10600.423907,309.97889137,2015-11-12T00:00:00Z,2015-11-12
1447372800,337,337,335.51,336.91,76.4822993,25702.225277,336.05455788,2015-11-13T00:00:00Z,2015-11-13
1447459200,336.98,336.98,335.87,336.88,1.84347674,620.28686866,336.47664503,2015-11-14T00:00:00Z,2015-11-14
1447632000,319.29,319.29,319.04,319.04,4.39195279,1402.2320252,319.27301868,2015-11-16T00:00:00Z,2015-11-16
1447718400,330.82,330.82,330,330,70.78544122,23375.384609,330.22870531,2015-11-17T00:00:00Z,2015-11-17
1447804800,336,336,335.46,335.46,7.26324,2437.8659943,335.64442236,2015-11-18T00:00:00Z,2015-11-18
1447891200,335.68,335.68,334.31,335.64,9.56106297,3199.4778675,334.63620913,2015-11-19T00:00:00Z,2015-11-19
1447977600,326.51,326.96,326.51,326.96,8.85649762,2893.9474499,326.75980665,2015-11-20T00:00:00Z,2015-11-20
1448064000,322.04,322.04,322.04,322.04,2.42878911,782.16724498,322.04,2015-11-21T00:00:00Z,2015-11-21
1448150400,326.5,326.6,326.5,326.6,41.5169781,13558.636436,326.58052336,2015-11-22T00:00:00Z,2015-11-22
1448236800,324.2,324.2,324.2,324.2,0.1891,61.30622,324.2,2015-11-23T00:00:00Z,2015-11-23
1448409600,319.7,319.7,319.7,319.7,0.10925174,34.927781278,319.7,2015-11-25T00:00:00Z,2015-11-25
1448496000,328.9,328.9,328.9,328.9,1.10652305,363.93543114,328.9,2015-11-26T00:00:00Z,2015-11-26
1448582400,353.9,353.9,353.06,353.06,6.0183,2126.3527405,353.31451415,2015-11-27T00:00:00Z,2015-11-27
1448668800,357.42,357.42,357.42,357.42,0.16058832,57.397477334,357.42,2015-11-28T00:00:00Z,2015-11-28
1448755200,356.78,356.95,356.78,356.95,0.632,225.48970106,356.78750167,2015-11-29T00:00:00Z,2015-11-29
1448841600,371.2,371.2,370.97,370.97,3.4714,1287.9218674,371.00935281,2015-11-30T00:00:00Z,2015-11-30
1448928000,376.7,377.02,376.63,377.02,26.65882584,10040.696682,376.63686848,2015-12-01T00:00:00Z,2015-12-01
1449100800,359.11,359.14,359.11,359.14,0.86925296,312.17492758,359.13012891,2015-12-03T00:00:00Z,2015-12-03
1449187200,361.48,361.48,361.48,361.48,0.01934624,6.9932788352,361.48,2015-12-04T00:00:00Z,2015-12-04
1449273600,363.62,363.62,363.62,363.62,0.24996288,90.891502426,363.62,2015-12-05T00:00:00Z,2015-12-05
1449360000,388,388,388,388,0.26606016,103.23134208,388,2015-12-06T00:00:00Z,2015-12-06
1449446400,388.54,388.54,387.16,387.38,0.76738603,297.46605341,387.63548173,2015-12-07T00:00:00Z,2015-12-07
1449532800,395.57,395.58,395.57,395.58,5.89207777,2330.7298705,395.57011321,2015-12-08T00:00:00Z,2015-12-08
1449619200,416.67,418.36,416,416.38,49.59828063,20699.621596,417.34554774,2015-12-09T00:00:00Z,2015-12-09
1449705600,416.69,416.84,416.69,416.84,1.8724552,780.38504423,416.77100965,2015-12-10T00:00:00Z,2015-12-10
1449792000,415.57,415.57,415.13,415.13,1.12343053,466.42402535,415.17834249,2015-12-11T00:00:00Z,2015-12-11
1449878400,453.12,453.44,453.12,453.44,1.39017935,630.12448381,453.26848209,2015-12-12T00:00:00Z,2015-12-12
1449964800,436.08,436.08,435.96,436.02,2.67569027,1166.7476739,436.05483302,2015-12-13T00:00:00Z,2015-12-13
1450051200,433.13,433.31,432.77,432.77,7.95392392,3444.0998874,433.00639057,2015-12-14T00:00:00Z,2015-12-14
1450224000,464.53,464.53,464.53,464.53,0.19970202,92.767579351,464.53,2015-12-16T00:00:00Z,2015-12-16
1450310400,455.61,455.62,455.61,455.62,0.07983831,36.375141802,455.61011753,2015-12-17T00:00:00Z,2015-12-17
1450569600,461.89,461.89,461.89,461.89,30,13856.7,461.89,2015-12-20T00:00:00Z,2015-12-20
1450742400,438.14,438.14,437.1,437.1,27.34502393,11958.019246,437.30147308,2015-12-22T00:00:00Z,2015-12-22
1450828800,435.65,435.65,435.04,435.04,1.046634,455.54930046,435.25176944,2015-12-23T00:00:00Z,2015-12-23
1451174400,417.11,418.39,417.11,417.11,2.1710161,908.03760208,418.25466061,2015-12-27T00:00:00Z,2015-12-27
1451260800,421.78,422.59,421.78,421.78,4.43493064,1870.6290353,421.79442864,2015-12-28T00:00:00Z,2015-12-28
1451347200,420.81,421.25,420.81,421.25,0.73426698,309.20338352,421.10484598,2015-12-29T00:00:00Z,2015-12-29
1451433600,431.7,432.75,431.7,431.85,9.06611389,3919.451463,432.31879839,2015-12-30T00:00:00Z,2015-12-30
1451520000,426.09,426.09,425.84,425.84,2.00104642,852.32849174,425.94138908,2015-12-31T00:00:00Z,2015-12-31
1451692800,434.87,434.87,434.87,434.87,0.12519266,54.442532054,434.87,2016-01-02T00:00:00Z,2016-01-02
1451779200,433.2,433.2,433.2,433.2,0.1237241,53.59728012,433.2,2016-01-03T00:00:00Z,2016-01-03
1451865600,431.54,431.54,430.74,430.74,1.45042437,625.8095843,431.46653989,2016-01-04T00:00:00Z,2016-01-04
1451952000,433.31,433.31,433.24,433.24,6.0729,2631.2263567,433.27345366,2016-01-05T00:00:00Z,2016-01-05
1452038400,432.45,432.45,432.45,432.45,0.1,43.245,432.45,2016-01-06T00:00:00Z,2016-01-06
1452124800,429.99,430.13,429.92,430.13,2.59391961,1115.4344138,430.01888321,2016-01-07T00:00:00Z,2016-01-07
1452211200,456.87,457.24,456.87,457.24,5.9670659,2727.3389032,457.06532304,2016-01-08T00:00:00Z,2016-01-08
1452297600,452.02,452.7,452.02,452.7,0.18209832,82.401909464,452.51328768,2016-01-09T00:00:00Z,2016-01-09
1452384000,448.84,448.94,448.65,448.94,1.87717004,842.43922708,448.78152172,2016-01-10T00:00:00Z,2016-01-10
1452470400,448.2,448.88,448.2,448.88,2.38465549,1070.1777844,448.77668448,2016-01-11T00:00:00Z,2016-01-11
1452556800,448,448,448,448,3.45827361,1549.3065773,448,2016-01-12T00:00:00Z,2016-01-12
1452643200,434.78,434.78,432.5,432.5,41.35757177,17918.474854,433.25742027,2016-01-13T00:00:00Z,2016-01-13
1452729600,432.64,432.64,432.64,432.64,11.88157309,5140.4437817,432.64,2016-01-14T00:00:00Z,2016-01-14
1452902400,360.62,360.62,360,360,143.46151877,51656.021287,360.06883051,2016-01-16T00:00:00Z,2016-01-16
